F	x	x		x	FRONTMATTER	
T	1	eqfr5mst-00001.dita		Related information		
T	1	SummaryOfChanges.dita	changes_summary	Summary of changes		
T	1	eqfr5mst-NF141.dita	changes_141	New features and functions in OpenTM2 v1.4.1		
T	2	eqfr5mst-NF141-1.dita	changes_141_SharedMemory	Updated WEB-based Shared Memory solution		
T	2	eqfr5mst-NF141-2.dita	changes_141_ValidationImport	Call CHKPII from within OpenTM2		
T	1	eqfr5mst-NF140.dita	changes_140	New features and functions in OpenTM2 v1.4.0		
T	2	eqfr5mst-NF140-1.dita	changes_140_SharedMemory	Updated WEB-based Shared Memory solution		
T	2	eqfr5mst-NF140-2.dita	changes_140_CHKPII	Call CHKPII from within OpenTM2		
T	1	eqfr5mst-NF132.dita	changes_132	New features and functions in OpenTM2 v1.3.2		
T	2	eqfr5mst-NF132-1.dita	changes_132_SharedMemory	Reworked WEB-based Shared Memory solution		
T	1	eqfr5mst-NF131.dita	changes_131	New features and functions in OpenTM2 v1.3.1		
T	2	eqfr5mst-NF131-1.dita	changes_131_FuzzySearch	Changes in the Fuzzy Segment Search function		
T	2	eqfr5mst-NF131-2.dita	changes_131_NextUntranslated	Two more entries in function Next Untranslated Segment		
T	1	eqfr5mst-NF130.dita	changes_130	New features and functions in OpenTM2 v1.3.0		
T	2	eqfr5mst-NF130-1.dita	changes_130_ExactFuzzyNomatch	"Shortcut keys for next EXACT, FUZZY, NO match segment"		
T	2	eqfr5mst-NF130-2.dita	changes_130_ProfileSettings	Plugin to backup and restore Profile Settings		
T	2	eqfr5mst-NF130-3.dita	changes_130_Spellcheck	Spellchecking across multiple Folders or Documents		
T	2	eqfr5mst-NF130-4.dita	changes_130_MatchSegmentId	Add Match Segment ID to support Machine Translation		
T	2	eqfr5mst-NF130-5.dita	changes_130_ChangeViewDetails	Change View Details		
T	2	eqfr5mst-NF130-6.dita	changes_130_SharedMemory	Updated WEB-based Shared Translation Memory concept		
T	1	eqfr5mst-NF124.dita	changes_124	New features and functions in OpenTM2 v1.2.4		
T	2	eqfr5mst-NF124-1.dita	changes_124_DocumentReimport	Re-import document		
T	2	eqfr5mst-NF124-2.dita	changes_124_DictionarySelectionPID	Allow selecting PID of glossary terms to be displayed during editing		
T	2	eqfr5mst-NF124-3.dita	changes_124_AddFolderName	Adding Folder Name in Title Bar		
T	2	eqfr5mst-NF124-4.dita	changes_124_NewLanguages	OpenTM2 to support the languages Bosnian and Montenegrin		
T	2	eqfr5mst-NF124-5.dita	changes_124_SmartTVT	Support SmartTVT project by providing a unique Segment-ID		
T	1	eqfr5mst-NF123.dita	changes_123	New features and functions in OpenTM2 v1.2.3		
T	2	eqfr5mst-NF123-1.dita	changes_123_GlobalFind	Improved Global Find and Replace function		
T	2	eqfr5mst-NF123-2.dita	changes_123_DosCommandGUI	Frequently used DOS line-command utilites integrated into UI		
T	2	eqfr5mst-NF123-3.dita	changes_123_XMLPreview	XML Preview function		
T	2	eqfr5mst-NF123-4.dita	changes_123_EnterCharacters	Interface to allow easy entry of characters not on keyboard		
T	2	eqfr5mst-NF123-5.dita	changes_123DictionaryProposalMerge	Dictionary proposal merge function is not implemented properly		
T	2	eqfr5mst-NF123-6.dita	changes_123_XLIFFWithMemoryEntries	Export XLIFF folder with search Translation Memory Databases		
T	1	eqfr5mst-NF122.dita	changes_122	New features and functions in OpenTM2 v1.2.2		
T	2	eqfr5mst-NF122-2.dita	changes_122_AnalysisOptions	Additional analysis options to protect text		
T	2	eqfr5mst-NF122-3.dita	changes_122_DictionaryXML	OpenTM2 Dictionary XML support		
T	2	eqfr5mst-NF122-4.dita	changes_122_DosCommandGUI	Frequently used DOS line-command utilites integrated into UI		
T	2	eqfr5mst-NF122-5.dita	changes_122_CalcReport	Target language entry in calculation report		
T	2	eqfr5mst-NF122-6.dita	changes_122_XMLPreview	XML Preview function		
C	0	x	prep_Starting	x	Before you start	eqfr5mst-00018.dita
T	1	eqfr5mst-00019.dita	prep_Hardware	Hardware requirements	Before you start	
T	1	eqfr5mst-00020.dita	prep_Software	Software requirements	Before you start	
T	1	eqfr5mst-00021.dita	prep_OpenTM2	What you get from OpenTM2	Before you start	
T	2	eqfr5mst-00022.dita	prep_LanguageFiles	Language-support files	Before you start	
T	2	eqfr5mst-00023.dita	prep_Dictionaries	Dictionaries	Before you start	
T	1	eqfr5mst-00025.dita	prep_InstallingOpenTM2	Installing OpenTM2	Before you start	
T	2	eqfr5mst-00026.dita	prep_InstallingComponents	Installing components	Before you start	
T	2	eqfr5mst-00027.dita	prep_InstallProcedure	Installation procedure	Before you start	
T	1	eqfr5mst-00032.dita	prep_Settings	Required settings	Before you start	
T	1	eqfr5mst-00033.dita	prep_StartingOpenTM2	Starting OpenTM2	Before you start	
T	1	eqfr5mst-00034.dita	prep_GettingHelp	Getting help	Before you start	
T	1	eqfr5mst-00035.dita	prep_BackingUpTranslation	Backing up your translation material	Before you start	
T	1	eqfr5mst-00036.dita	prep_AdditionalDrives	Defining additional drives	Before you start	
C	0	x		x	Working with the Translation Workbench	eqfr5mst-00037.dita
T	1	eqfr5mst-00038.dita		The Workbench	Working with the Translation Workbench	
T	1	eqfr5mst-00039.dita		Arranging the windows	Working with the Translation Workbench	
T	1	eqfr5mst-00040.dita		Defining the view details	Working with the Translation Workbench	
T	1	eqfr5mst-00041.dita		Hiding and shrinking path names	Working with the Translation Workbench	
T	1	eqfr5mst-00042.dita		Option to sort document list on file name and extension	Working with the Translation Workbench	
T	1	eqfr5mst-00043.dita		Saving the Workbench	Working with the Translation Workbench	
C	0	x		x	Working with the Translation Environment	eqfr5mst-00044.dita
T	1	eqfr5mst-00045.dita		The Translation Environment	Working with the Translation Environment	
T	1	eqfr5mst-00046.dita		The meaning of the colors	Working with the Translation Environment	
T	1	eqfr5mst-00047.dita		How markup tags are displayed	Working with the Translation Environment	
T	1	eqfr5mst-00048.dita		Changing the display of markup information	Working with the Translation Environment	
T	1	eqfr5mst-00049.dita		Displaying the original of a translation proposal	Working with the Translation Environment	
T	1	eqfr5mst-00050.dita		Making a window active	Working with the Translation Environment	
T	1	eqfr5mst-00051.dita		Checking how segments were translated	Working with the Translation Environment	
T	1	eqfr5mst-00052.dita		Influence of Windows regional settings (Windows control panel > “Regional and Language Options”)	Working with the Translation Environment	
T	1	eqfr5mst-00053.dita		Working with bidirectional language documents	Working with the Translation Environment	
T	2	eqfr5mst-00054.dita		Prerequisites for bidirectional language support	Working with the Translation Environment	
T	2	eqfr5mst-00055.dita		Controlling the bidirectional display	Working with the Translation Environment	
T	2	eqfr5mst-00056.dita		Translation Environment with an Arabic document	Working with the Translation Environment	
T	2	eqfr5mst-00057.dita		Translation Environment with a Hebrew document	Working with the Translation Environment	
T	2	eqfr5mst-00058.dita		Further considerations	Working with the Translation Environment	
T	3	eqfr5mst-00059.dita		Defining shortcut keys	Working with the Translation Environment	
T	3	eqfr5mst-00060.dita		The treatment of braces - no symmetrical swapping	Working with the Translation Environment	
T	3	eqfr5mst-00061.dita		The treatment of text in dialog boxes	Working with the Translation Environment	
T	3	eqfr5mst-00062.dita		Translation Memory considerations	Working with the Translation Environment	
T	1	eqfr5mst-00063.dita		Working with Thai language documents	Working with the Translation Environment	
T	2	eqfr5mst-00064.dita		Preparing for a translation	Working with the Translation Environment	
T	2	eqfr5mst-00065.dita		Translation Environment with a Thai document	Working with the Translation Environment	
T	2	eqfr5mst-00066.dita		Using Find and Replace	Working with the Translation Environment	
T	2	eqfr5mst-00067.dita		Using Thai dictionaries and abbreviation lists	Working with the Translation Environment	
T	2	eqfr5mst-00068.dita		Translating HTML documents	Working with the Translation Environment	
T	2	eqfr5mst-00069.dita		Limitations of the current Thai support	Working with the Translation Environment	
T	2	eqfr5mst-00070.dita		Commenting segments in the editor	Working with the Translation Environment	
C	0	x		x	Working with the OpenTM2 editor	eqfr5mst-00071.dita
T	1	eqfr5mst-00072.dita		The OpenTM2 editor	Working with the OpenTM2 editor	
T	1	eqfr5mst-00073.dita		Basic functions	Working with the OpenTM2 editor	
T	2	eqfr5mst-00074.dita		Assigning keys	Working with the OpenTM2 editor	
T	2	eqfr5mst-00075.dita		Finding and replacing terms	Working with the OpenTM2 editor	
T	2	eqfr5mst-00076.dita		Searching for terms in Translation Memory databases	Working with the OpenTM2 editor	
T	2	eqfr5mst-00077.dita		Moving around the text	Working with the OpenTM2 editor	
T	3	eqfr5mst-00078.dita		Scrolling	Working with the OpenTM2 editor	
T	3	eqfr5mst-00079.dita		Querying and setting the cursor position	Working with the OpenTM2 editor	
