F	x	x		x	FRONTMATTER	
T	1	eqfr5mst-00001.dita	front_Chapter	Related information		
T	1	SummaryOfChanges.dita	changes_summary	Summary of changes		
T	1	eqfr5mst-NF141.dita	changes_141	New features and functions in OpenTM2 v1.4.1		
T	2	eqfr5mst-NF141-1.dita	changes_141_SharedMemory	Updated WEB-based Shared Memory solution		
T	2	eqfr5mst-NF141-2.dita	changes_141_ValidationImport	Call CHKPII from within OpenTM2		
T	1	eqfr5mst-NF140.dita	changes_140	New features and functions in OpenTM2 v1.4.0		
T	2	eqfr5mst-NF140-1.dita	changes_140_SharedMemory	Updated WEB-based Shared Memory solution		
T	2	eqfr5mst-NF140-2.dita	changes_140_CHKPII	Call CHKPII from within OpenTM2		
T	1	eqfr5mst-NF132.dita	changes_132	New features and functions in OpenTM2 v1.3.2		
T	2	eqfr5mst-NF132-1.dita	changes_132_SharedMemory	Reworked WEB-based Shared Memory solution		
T	1	eqfr5mst-NF131.dita	changes_131	New features and functions in OpenTM2 v1.3.1		
T	2	eqfr5mst-NF131-1.dita	changes_131_FuzzySearch	Changes in the Fuzzy Segment Search function		
T	2	eqfr5mst-NF131-2.dita	changes_131_NextUntranslated	Two more entries in function Next Untranslated Segment		
T	1	eqfr5mst-NF130.dita	changes_130	New features and functions in OpenTM2 v1.3.0		
T	2	eqfr5mst-NF130-1.dita	changes_130_ExactFuzzyNomatch	"Shortcut keys for next EXACT, FUZZY, NO match segment"		
T	2	eqfr5mst-NF130-2.dita	changes_130_ProfileSettings	Plugin to backup and restore Profile Settings		
T	2	eqfr5mst-NF130-3.dita	changes_130_Spellcheck	Spellchecking across multiple Folders or Documents		
T	2	eqfr5mst-NF130-4.dita	changes_130_MatchSegmentId	Add Match Segment ID to support Machine Translation		
T	2	eqfr5mst-NF130-5.dita	changes_130_ChangeViewDetails	Change View Details		
T	2	eqfr5mst-NF130-6.dita	changes_130_SharedMemory	Updated WEB-based Shared Translation Memory concept		
T	1	eqfr5mst-NF124.dita	changes_124	New features and functions in OpenTM2 v1.2.4		
T	2	eqfr5mst-NF124-1.dita	changes_124_DocumentReimport	Re-import document		
T	2	eqfr5mst-NF124-2.dita	changes_124_DictionarySelectionPID	Allow selecting PID of glossary terms to be displayed during editing		
T	2	eqfr5mst-NF124-3.dita	changes_124_AddFolderName	Adding Folder Name in Title Bar		
T	2	eqfr5mst-NF124-4.dita	changes_124_NewLanguages	OpenTM2 to support the languages Bosnian and Montenegrin		
T	2	eqfr5mst-NF124-5.dita	changes_124_SmartTVT	Support SmartTVT project by providing a unique Segment-ID		
T	1	eqfr5mst-NF123.dita	changes_123	New features and functions in OpenTM2 v1.2.3		
T	2	eqfr5mst-NF123-1.dita	changes_123_GlobalFind	Improved Global Find and Replace function		
T	2	eqfr5mst-NF123-2.dita	changes_123_DosCommandGUI	Frequently used DOS line-command utilites integrated into UI		
T	2	eqfr5mst-NF123-3.dita	changes_123_XMLPreview	XML Preview function		
T	2	eqfr5mst-NF123-4.dita	changes_123_EnterCharacters	Interface to allow easy entry of characters not on keyboard		
T	2	eqfr5mst-NF123-5.dita	changes_123DictionaryProposalMerge	Dictionary proposal merge function is not implemented properly		
T	2	eqfr5mst-NF123-6.dita	changes_123_XLIFFWithMemoryEntries	Export XLIFF folder with search Translation Memory Databases		
T	1	eqfr5mst-NF122.dita	changes_122	New features and functions in OpenTM2 v1.2.2		
T	2	eqfr5mst-NF122-2.dita	changes_122_AnalysisOptions	Additional analysis options to protect text		
T	2	eqfr5mst-NF122-3.dita	changes_122_DictionaryXML	OpenTM2 Dictionary XML support		
T	2	eqfr5mst-NF122-4.dita	changes_122_DosCommandGUI	Frequently used DOS line-command utilites integrated into UI		
T	2	eqfr5mst-NF122-5.dita	changes_122_CalcReport	Target language entry in calculation report		
T	2	eqfr5mst-NF122-6.dita	changes_122_XMLPreview	XML Preview function		
C	0	x	prep_Chapter	x	Before you start	eqfr5mst-00018.dita
T	1	eqfr5mst-00019.dita	prep_Hardware	Hardware requirements	Before you start	
T	1	eqfr5mst-00020.dita	prep_Software	Software requirements	Before you start	
T	1	eqfr5mst-00021.dita	prep_OpenTM2	What you get from OpenTM2	Before you start	
T	2	eqfr5mst-00022.dita	prep_LanguageFiles	Language-support files	Before you start	
T	2	eqfr5mst-00023.dita	prep_Dictionaries	Dictionaries	Before you start	
T	1	eqfr5mst-00025.dita	prep_InstallingOpenTM2	Installing OpenTM2	Before you start	
T	2	eqfr5mst-00026.dita	prep_InstallingComponents	Installing components	Before you start	
T	2	eqfr5mst-00027.dita	prep_InstallProcedure	Installation procedure	Before you start	
T	1	eqfr5mst-00032.dita	prep_Settings	Required settings	Before you start	
T	1	eqfr5mst-00033.dita	prep_StartingOpenTM2	Starting OpenTM2	Before you start	
T	1	eqfr5mst-00034.dita	prep_GettingHelp	Getting help	Before you start	
T	1	eqfr5mst-00035.dita	prep_BackingUpTranslation	Backing up your translation material	Before you start	
T	1	eqfr5mst-00036.dita	prep_AdditionalDrives	Defining additional drives	Before you start	
C	0	x	wb_Chapter	x	Working with the Translation Workbench	eqfr5mst-00037.dita
T	1	eqfr5mst-00038.dita	wb_Workbench	The Workbench	Working with the Translation Workbench	
T	1	eqfr5mst-00039.dita	wb_Windows	Arranging the windows	Working with the Translation Workbench	
T	1	eqfr5mst-00040.dita	wb_ViewDetails	Defining the view details	Working with the Translation Workbench	
T	1	eqfr5mst-00041.dita	wb_PathNames	Hiding and shrinking path names	Working with the Translation Workbench	
T	1	eqfr5mst-00042.dita	wb_Sorting	Option to sort document list on file name and extension	Working with the Translation Workbench	
T	1	eqfr5mst-00043.dita	wb_Saving	Saving the Workbench	Working with the Translation Workbench	
C	0	x	env_Chapter	x	Working with the Translation Environment	eqfr5mst-00044.dita
T	1	eqfr5mst-00045.dita	env_TranslationEnvironment	The Translation Environment	Working with the Translation Environment	
T	1	eqfr5mst-00046.dita	env_Colors	The meaning of the colors	Working with the Translation Environment	
T	1	eqfr5mst-00047.dita	env_MarkupTags	How markup tags are displayed	Working with the Translation Environment	
T	1	eqfr5mst-00048.dita	env_MarkupTagsDisplayed	Changing the display of markup information	Working with the Translation Environment	
T	1	eqfr5mst-00049.dita	env_TranslationProposalDisplay	Displaying the original of a translation proposal	Working with the Translation Environment	
T	1	eqfr5mst-00050.dita	env_ActiveWindow	Making a window active	Working with the Translation Environment	
T	1	eqfr5mst-00051.dita	env_SegmentsTranslate	Checking how segments were translated	Working with the Translation Environment	
T	1	eqfr5mst-00052.dita	env_RegionalSettings	Influence of Windows regional settings (Windows control panel > “Regional and Language Options”)	Working with the Translation Environment	
T	1	eqfr5mst-00053.dita	env_BidirectionalWorking	Working with bidirectional language documents	Working with the Translation Environment	
T	2	eqfr5mst-00054.dita	env_BidiPrerequisites	Prerequisites for bidirectional language support	Working with the Translation Environment	
T	2	eqfr5mst-00055.dita	env_BidiControlling	Controlling the bidirectional display	Working with the Translation Environment	
T	2	eqfr5mst-00056.dita	env_BidiArabic	Translation Environment with an Arabic document	Working with the Translation Environment	
T	2	eqfr5mst-00057.dita	env_BidiHebrew	Translation Environment with a Hebrew document	Working with the Translation Environment	
T	2	eqfr5mst-00058.dita	env_BidiConsiderations	Further considerations	Working with the Translation Environment	
T	3	eqfr5mst-00059.dita	env_BidiShortcutKeys	Defining shortcut keys	Working with the Translation Environment	
T	3	eqfr5mst-00060.dita	env_BidiSwappingBraces	The treatment of braces - no symmetrical swapping	Working with the Translation Environment	
T	3	eqfr5mst-00061.dita	env_BidiTextInDialogs	The treatment of text in dialog boxes	Working with the Translation Environment	
T	3	eqfr5mst-00062.dita	env_BidiMemory	Translation Memory considerations	Working with the Translation Environment	
T	1	eqfr5mst-00063.dita	env_ThaiWorking	Working with Thai language documents	Working with the Translation Environment	
T	2	eqfr5mst-00064.dita	env_ThaiPreparing	Preparing for a translation	Working with the Translation Environment	
T	2	eqfr5mst-00065.dita	env_ThaiDocument	Translation Environment with a Thai document	Working with the Translation Environment	
T	2	eqfr5mst-00066.dita	env_ThaiFindReplace	Using Find and Replace	Working with the Translation Environment	
T	2	eqfr5mst-00067.dita	env_ThaiDictionaries	Using Thai dictionaries and abbreviation lists	Working with the Translation Environment	
T	2	eqfr5mst-00068.dita	env_ThaiHtml	Translating HTML documents	Working with the Translation Environment	
T	2	eqfr5mst-00069.dita	env_ThaiLimitations	Limitations of the current Thai support	Working with the Translation Environment	
T	2	eqfr5mst-00070.dita	env_ThaiCommentingSegments	Commenting segments in the editor	Working with the Translation Environment	
C	0	eqfr5mst-00071.dita	edit_Chapter	x	Working with the OpenTM2 editor	eqfr5mst-00071.dita
T	1	eqfr5mst-00072.dita	edit_Overview	The OpenTM2 editor	Working with the OpenTM2 editor	
T	1	eqfr5mst-00073.dita	edit_BasicFunctions	Basic functions	Working with the OpenTM2 editor	
T	2	eqfr5mst-00074.dita	edit_BasicKeys	Assigning keys	Working with the OpenTM2 editor	
T	2	eqfr5mst-00075.dita	edit_BasicFindReplace	Finding and replacing terms	Working with the OpenTM2 editor	
T	2	eqfr5mst-00076.dita	edit_BasicSearchingForTerms	Searching for terms in Translation Memory databases	Working with the OpenTM2 editor	
T	2	eqfr5mst-00077.dita	edit_BasicMovingText	Moving around the text	Working with the OpenTM2 editor	
T	3	eqfr5mst-00078.dita	edit_BasicScrolling	Scrolling	Working with the OpenTM2 editor	
T	3	eqfr5mst-00079.dita	edit_BasicCursor	Querying and setting the cursor position	Working with the OpenTM2 editor	
T	2	eqfr5mst-00080.dita	edit_BasicMovingMarkedText	Moving around marked text	Working with the OpenTM2 editor	
T	2	eqfr5mst-00081.dita	edit_BasicBookmarks	Working with bookmarks	Working with the OpenTM2 editor	
T	2	eqfr5mst-00082.dita	edit_BasicLinesWords	Working with lines and words	Working with the OpenTM2 editor	
T	1	eqfr5mst-00083.dita	edit_SpecificFunctions	Translation-specific functions	Working with the OpenTM2 editor	
T	2	eqfr5mst-00084.dita	edit_ManipulatingSegments	Manipulating segments	Working with the OpenTM2 editor	
T	2	eqfr5mst-00085.dita	edit_ManipulatingDocuments	Manipulating documents	Working with the OpenTM2 editor	
T	3	eqfr5mst-00086.dita	edit_Spellcheck	Spellchecking	Working with the OpenTM2 editor	
T	3	eqfr5mst-00087.dita	edit_ViewOtherDocuments	Viewing other documents while translating	Working with the OpenTM2 editor	
T	1	eqfr5mst-00088.dita	edit_Configuring	Configuring the editor	Working with the OpenTM2 editor	
T	2	eqfr5mst-00089.dita	edit_ColorsFonts	Customizing colors and fonts	Working with the OpenTM2 editor	
T	2	eqfr5mst-00090.dita	edit_Ruler	Displaying a ruler	Working with the OpenTM2 editor	
T	2	eqfr5mst-00091.dita	edit_CursorPosition	Displaying the cursor position	Working with the OpenTM2 editor	
T	2	eqfr5mst-00092.dita	edit_Profile	Setting up the profile	Working with the OpenTM2 editor	
T	2	eqfr5mst-00093.dita	edit_ProfileSharing	Sharing a profile	Working with the OpenTM2 editor	
C	0	eqfr5mst-00094.dita	task_Chapter	x	Translation scenarios	eqfr5mst-00094.dita
T	1	eqfr5mst-00095.dita	task_DocumentNew	Translating a new document	Translation scenarios	
T	2	eqfr5mst-00096.dita	task_FolderCreate	Creating a folder	Translation scenarios	
T	2	eqfr5mst-00097.dita	task_DocumentImport	Importing a new document	Translation scenarios	
T	2	eqfr5mst-00098.dita	task_DocumentTranslate	Translating the document	Translation scenarios	
T	2	eqfr5mst-00099.dita	task_DocumentPostedit	Postediting and viewing the translated document	Translation scenarios	
T	2	eqfr5mst-00100.dita	task_DocumentExport	Exporting the translated document	Translation scenarios	
T	1	eqfr5mst-00101.dita	task_DocumentTranslateUpdates	Translating updated documents	Translation scenarios	
T	1	eqfr5mst-00102.dita	task_TranslatorsOne	Translating with one translator	Translation scenarios	
T	2	eqfr5mst-00103.dita	task_Workbench	Working with the Workbench	Translation scenarios	
T	2	eqfr5mst-00104.dita	task_TranslationEnvironment	Working with the Translation Environment	Translation scenarios	
T	1	eqfr5mst-00105.dita	task_TranslatorsTwo	Translating with several translators	Translation scenarios	
T	2	eqfr5mst-00106.dita	task_ResourceShare	Sharing translation resources	Translation scenarios	
T	1	eqfr5mst-00107.dita	task_DataExchange	Exchanging data with other people and systems	Translation scenarios	
T	2	eqfr5mst-00108.dita	task_DocumentExchange	Exchanging documents	Translation scenarios	
T	2	eqfr5mst-00109.dita	task_DictionaryExchange	Exchanging dictionaries	Translation scenarios	
T	2	eqfr5mst-00110.dita	task_TermExchange	Exchanging terminology lists	Translation scenarios	
T	2	eqfr5mst-00111.dita	task_MemoryExchange	Exchanging Translation Memory databases	Translation scenarios	
T	2	eqfr5mst-00112.dita	task_FolderExchange	Exchanging folders	Translation scenarios	
T	2	eqfr5mst-00113.dita	task_MarkupExchange	Exchanging markup tables	Translation scenarios	
C	0	eqfr5mst-00114.dita	concept_Chapter	x	General concepts	eqfr5mst-00114.dita
T	1	eqfr5mst-00115.dita	concept_TaskDescription	How a task is described	General concepts	
T	1	eqfr5mst-00116.dita	concept_ExportImport	Export and import	General concepts	
T	1	eqfr5mst-00117.dita	concept_Print	Printing	General concepts	
T	2	eqfr5mst-00118.dita	concept_PrintLists	Printing list windows	General concepts	
T	1	eqfr5mst-00119.dita	concept_Windows	Windows	General concepts	
T	2	eqfr5mst-00120.dita	concept_WindowsMessage	Message windows	General concepts	
T	2	eqfr5mst-00121.dita	concept_WindowsProgress	Progress windows	General concepts	
T	1	eqfr5mst-00122.dita	concept_Menus	Menus	General concepts	
T	1	eqfr5mst-00123.dita	concept_OutputFile	Specifying an output file	General concepts	
T	1	eqfr5mst-00124.dita	concept_MultipleObjectSelect	Selecting multiple objects in list windows	General concepts	
T	1	eqfr5mst-00125.dita	concept_DetailsViewChange	Viewing and changing the details of a list item	General concepts	
T	2	eqfr5mst-00126.dita	concept_DetailsSelect	Viewing selected details	General concepts	
T	2	eqfr5mst-00127.dita	concept_DetailsChange	Changing the details setting	General concepts	
T	1	eqfr5mst-00128.dita	concept_ListItems	Arranging and filtering list items	General concepts	
T	2	eqfr5mst-00129.dita	concept_ListItemArrange	Arranging list items	General concepts	
T	2	eqfr5mst-00130.dita	concept_ListItemsFilter	Filtering list items	General concepts	
T	1	eqfr5mst-00131.dita	concept_SystemPreferences	Viewing and changing the system preferences	General concepts	
C	0	eqfr5mst-00132.dita	doc_Chapter	x	Working with documents	eqfr5mst-00132.dita
T	1	eqfr5mst-00133.dita	doc_Overview	Overview and terminology	Working with documents	
T	1	eqfr5mst-00134.dita	doc_WhatCanYouDo	What you can do with documents	Working with documents	
T	1	eqfr5mst-00135.dita	doc_Analyze	Analyzing a document	Working with documents	
T	2	eqfr5mst-00136.dita	doc_AnalyzeDefaults	Analyzing documents using defaults	Working with documents	
T	2	eqfr5mst-00137.dita	doc_AnalyzeMemory	Analyzing documents using Translation Memory databases	Working with documents	
T	2	eqfr5mst-00138.dita	doc_AnalyzeProfile	Editing analysis Profiles	Working with documents	
T	2	eqfr5mst-00139.dita	doc_AnalyzeDictionary	Analyzing documents using dictionaries	Working with documents	
T	2	eqfr5mst-00140.dita	doc_AnalyzeAbbreviation	Maintaining abbreviation lists	Working with documents	
T	1	eqfr5mst-00141.dita	doc_Close	Closing a document	Working with documents	
T	1	eqfr5mst-00142.dita	doc_CountWords	Counting the number of words in a document	Working with documents	
T	1	eqfr5mst-00143.dita	doc_CountWordsDuplicate	Counting duplicate words in a document	Working with documents	
T	1	eqfr5mst-00144.dita	doc_CountMatches	Counting the number and type of matches in a document	Working with documents	
T	1	eqfr5mst-00145.dita	doc_CountFuzzy	Counting words in segments with fuzzy matches	Working with documents	
T	1	eqfr5mst-00146.dita	doc_Formats	Dealing with specific document formats	Working with documents	
T	2	eqfr5mst-00148.dita	doc_FormatsAnsi	ANSI documents	Working with documents	
T	2	eqfr5mst-00149.dita	doc_FormatsAscii	ASCII documents	Working with documents	
T	2	eqfr5mst-00150.dita	doc_FormatsAssembler	Assembler documents	Working with documents	
T	2	eqfr5mst-00151.dita	doc_FormatsBookmaster	BookMaster and Information Presentation Facility documents	Working with documents	
T	2	eqfr5mst-00152.dita	doc_FormatsFrameBuilder	FrameBuilder files	Working with documents	
T	2	eqfr5mst-00153.dita	doc_FormatsHtml	HTML documents	Working with documents	
T	2	eqfr5mst-00154.dita	doc_FormatsInterleaf	Interleaf files	Working with documents	
T	2	eqfr5mst-00156.dita	doc_FormatsPowerpoint	Microsoft PowerPoint documents	Working with documents	
T	2	eqfr5mst-00157.dita	doc_FormatsWord	Microsoft Word for Windows documents	Working with documents	
T	2	eqfr5mst-00158.dita	doc_FormatsRtf	RTF documents	Working with documents	
T	2	eqfr5mst-00159.dita	doc_FormatsSgml	SGML documents	Working with documents	
T	2	eqfr5mst-00160.dita	doc_FormatsUnicode	Unicode documents	Working with documents	
T	2	eqfr5mst-00161.dita	doc_FormatsWindowsHelp	Windows help files	Working with documents	
T	1	eqfr5mst-00163.dita	doc_Delete	Deleting a document	Working with documents	
T	1	eqfr5mst-00164.dita	doc_DeleteList	Deleting documents from a folder based on a list	Working with documents	
T	1	eqfr5mst-00165.dita	doc_DeleteRestore	Restore Deleted documents	Working with documents	
T	1	eqfr5mst-00166.dita	doc_ExportOpenTM2	Exporting a document in OpenTM2 format	Working with documents	
T	1	eqfr5mst-00167.dita	doc_ExportExternal	Exporting a document in external format	Working with documents	
T	1	eqfr5mst-00168.dita	doc_ExportExternalPath	Exporting a document in external format with a path	Working with documents	
T	1	eqfr5mst-00169.dita	doc_ExportValidation	Exporting a document in validation format	Working with documents	
T	1	eqfr5mst-00170.dita	doc_ExportXml	Exporting a document in plain XML format	Working with documents	
T	1	eqfr5mst-00171.dita	doc_ExportTagGroup	Export segments in tag groups	Working with documents	
T	1	eqfr5mst-00173.dita	doc_ExportRevision	Editing document revision marks for export	Working with documents	
T	1	eqfr5mst-00174.dita	doc_Import	Importing a document	Working with documents	
T	1	eqfr5mst-00175.dita	doc_ImportOpenTM2	Importing a document in OpenTM2 format	Working with documents	
T	1	eqfr5mst-00176.dita	doc_ImportExternal	Importing a document in external format	Working with documents	
T	1	eqfr5mst-00177.dita	doc_ImportexternalPath	Importing a document in external format with a path	Working with documents	
T	1	eqfr5mst-00179.dita	doc_CopyMove	Copying and moving documents between folders	Working with documents	
T	1	eqfr5mst-00180.dita	doc_Open	Opening a document	Working with documents	
T	1	eqfr5mst-00181.dita	doc_Search	Searching and replacing text in documents	Working with documents	
T	1	eqfr5mst-00182.dita	doc_SearchFuzzy	Search segments with fuzzy matches	Working with documents	
T	1	eqfr5mst-00183.dita	doc_Spellcheck	Spellchecking Documents or Folders	Working with documents	
T	1	eqfr5mst-00184.dita	doc_SpellcheckAddendum	Editing the spellcheck addendum	Working with documents	
T	1	eqfr5mst-00185.dita	doc_Translate	Translating a document	Working with documents	
T	1	eqfr5mst-00186.dita	doc_OpenDocuments	Opening and translating several documents	Working with documents	
T	1	eqfr5mst-00187.dita	doc_PropertiesView	Viewing the properties of a document	Working with documents	
T	1	eqfr5mst-00188.dita	doc_PropertiesChange	Changing the properties of a document	Working with documents	
T	1	eqfr5mst-00189.dita	doc_DetailsView	Viewing the details of a document	Working with documents	
T	1	eqfr5mst-00190.dita	doc_NoteToTranslators	Including notes for the translator	Working with documents	
T	2	eqfr5mst-00191.dita	doc_TranslatorNotes	Translator's notes in a source document	Working with documents	
T	2	eqfr5mst-00192.dita	doc_TranslatorNotesEnvironment	Translator's notes in the Translation Environment	Working with documents	
T	1	eqfr5mst-00193.dita	doc_PreviewXml	Preview XML documents	Working with documents	
T	2	eqfr5mst-00194.dita	doc_PreviewXmlSteps	Step by step description to preview a XML document	Working with documents	
C	0	eqfr5mst-00195.dita	folder_Chapter	x	Working with folders	eqfr5mst-00195.dita
T	1	eqfr5mst-00196.dita	folder_Overview	Overview and terminology	Working with folders	
T	1	eqfr5mst-00197.dita	folder_WhatCanYouDo	What you can do with folders	Working with folders	
T	1	eqfr5mst-00198.dita	folder_Analyze	Analyzing all the documents in a folder	Working with folders	
T	1	eqfr5mst-00199.dita	folder_Close	Closing a folder	Working with folders	
T	1	eqfr5mst-00200.dita	folder_CountWords	Counting the words in all documents of a folder	Working with folders	
T	1	eqfr5mst-00201.dita	folder_Create	Creating a folder	Working with folders	
T	1	eqfr5mst-00202.dita	folder_Dictionary	Dictionary Selection window	Working with folders	
T	1	eqfr5mst-00203.dita	folder_Memory	Translation Memory Selection window	Working with folders	
T	1	eqfr5mst-00204.dita	folder_CreateSubfolder	Creating a subfolder	Working with folders	
T	1	eqfr5mst-00205.dita	folder_Rename	Renaming a folder	Working with folders	
T	1	eqfr5mst-00206.dita	folder_Delete	Deleting a folder	Working with folders	
T	1	eqfr5mst-00207.dita	folder_DeletedExported	Deleting a folder exported to the otm\export subdirectory	Working with folders	
T	1	eqfr5mst-00208.dita	folder_Export	Exporting a folder	Working with folders	
T	1	eqfr5mst-00209.dita	folder_Import	Importing a folder	Working with folders	
T	1	eqfr5mst-00210.dita	folder_ImportXliff	Importing a XLIFF folder	Working with folders	
T	1	eqfr5mst-00211.dita	folder_ImportControlled	Importing a folder into controlled folder	Working with folders	
T	1	eqfr5mst-00212.dita	folder_Open	Opening a folder	Working with folders	
T	1	eqfr5mst-00213.dita	folder_Search	Searching and replacing text across several documents in a folder	Working with folders	
T	1	eqfr5mst-00214.dita	folder_PropertiesView	Viewing the properties of a folder	Working with folders	
T	1	eqfr5mst-00215.dita	folder_PropertiesChange	Changing the properties of a folder	Working with folders	
T	1	eqfr5mst-00216.dita	folder_Details	Viewing the details of a folder	Working with folders	
C	0	`	memory_Chapter	x	Working with Translation Memory databases	eqfr5mst-00217.dita
T	1	eqfr5mst-00218.dita	memory_Overview	Overview and terminology	Working with Translation Memory databases	
T	1	eqfr5mst-00219.dita	memory_Matches	Translation Memory matches	Working with Translation Memory databases	
T	1	eqfr5mst-00220.dita	memory_WhatCanYouDo	What you can do with Translation Memory databases	Working with Translation Memory databases	
T	1	eqfr5mst-00221.dita	memory_Create	Creating a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00222.dita	memory_ExternalCreate	Creating an external Translation Memory	Working with Translation Memory databases	
T	2	eqfr5mst-00223.dita	memory_ExternalFormat	Format of an external Translation Memory	Working with Translation Memory databases	
T	2	eqfr5mst-00224.dita	memory_ExternalFormat2	The Translation Memory format	Working with Translation Memory databases	
T	2	eqfr5mst-00225.dita	memory_ExternalTags	SGML tags for external Translation Memory databases	Working with Translation Memory databases	
T	2	eqfr5mst-00226.dita	memory_ExternalControlInfo	Control information of a Translation Memory segment	Working with Translation Memory databases	
T	1	eqfr5mst-00227.dita	memory_Rename	Renaming a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00228.dita	memory_Delete	Deleting a Translation Memory	Working with Translation Memory databases	
T	1	eqfr5mst-00229.dita	memory_Export	Exporting a Translation Memory	Working with Translation Memory databases	
